brand,calories,protein,fat,Na,fiber,carbs,sugar,K
Cheerios,110,6,2,290,2,17,1,105
Cocoa Puffs,110,1,1,180,0,12,13,55
Honey Nut Cheerios,110,3,1,250,1.5,11.5,10,90
Kix,110,2,1,260,0,21,3,40
Lucky Charms,110,2,1,180,0,12,12,55
Oatmeal Raisin Crisp,130,3,2,170,1.5,13.5,10,120
Raisin Nut Bran,100,3,2,140,2.5,10.5,8,140
Total Corn Flakes,110,2,1,200,0,21,3,35
Total Raisin Bran,140,3,1,190,4,15,14,230
Trix,110,1,1,140,0,13,12,25
Wheaties Honey Gold,110,2,1,200,1,16,8,60
All-Bran,70,4,1,260,9,7,5,320
Apple Jacks,110,2,0,125,1,11,14,30
Corn Flakes,100,2,0,290,1,21,2,35
Corn Pops,110,1,0,90,1,13,12,20
Mueslix Crispy Blend,160,3,2,150,3,17,13,160
Nut & Honey Crunch,120,2,1,190,0,15,9,40
Nutri Grain Almond Raisin,140,3,2,220,3,21,7,130
Nutri Grain Wheat,90,3,0,170,3,18,2,90
Product 19,100,3,0,320,1,20,3,45
Raisin Bran,120,3,1,210,5,14,12,240
Rice Krispies,110,2,0,290,0,22,3,35
Special K,110,6,0,230,1,16,3,55
Life,100,4,2,150,2,12,6,95
Puffed Rice,50,1,0,0,0,13,0,15
